перевод: перевода переводы переводу перевод переводов 
самый: самая 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе 
мочь: могут могу 
понравиться: понравился понравиться 
вчера: вчера 
рождение: рождения 
детка: детка 
платить: платить 
автор: авторами авторы авторам автор 
соглашение: соглашение 
милый: милая 
находить: находил 
хит: хит 
пока: пока 
трахать: трахать 
ошибка: ошибки 
форум: форуме форум 
исполнение: исполнении 
секс: секс 
тот: той та 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
который: который 
рискнуть: рискнуть 
сеть: сети 
персональный: персональное 
выйти: выйти 
свет: свет 
тег: тегам 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
погасить: погасив 
текст: текст 
возможность: возможность 
сам: самой 
сложный: сложный 
девушка: девушек 
мой: мои 
скрывать: скрывать 
отказ: отказ 
песня: песне песни 
год: год 
подружка: подружку 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
потерять: потеряли потерять 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
период: период 
приводить: приводи 
наш: наши 
прийтись: придётся 
беспокоиться: беспокойся 
отдать: отдам 
подписка: подписки 
сесть: сядет 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
устать: устал 
сказать: сказала 
интересный: интересное 
ребёнок: ребёнка детей 
хотеть: хочу 
каждый: каждый 
день: день 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
огонь: огне 
радио: радио 
всё: всё 
английский: английские 
событие: событие 
итальянский: итальянские 
возможный: возможны 
весь: всем 
смочь: смог 
обратный: обратная 
девочка: девочкам 
остаться: осталась 
замечание: замечания 
испанский: испанские 
уу: уу 
добавить: добавить 
дом: дома 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
лицо: лицо 
пожалуйста: пожалуйста 
столько: столько 
свой: своего 
сообщить: сообщите 
себя: собой 
материал: материалов 
понадобиться: понадобился 
мы: нам 
некоторый: некоторые 
смотреть: смотрю 
пользовательский: пользовательское 
разный: разных 
авторизируться: авторизируйтесь 
ради: ради 
пусть: пусть 
отправить: отправить 
программа: программа 
единственный: единственная 
это: это 
любимый: любимые 
уоу: уоу 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
готовый: готов 
игра: игра 
понять: понять 
эй: эй 
медленно: медленно 
кто: кого 
главный: главная 
возможно: возможно 
быть: буду 
реклама: рекламу 
