сердце: сердца 
уйти: уйдешь 
связь: связь 
автор: автор авторы авторами авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
гага: гага 
рейтинг: рейтинг 
текст: текст 
мэри: мэри 
рука: руки 
видеоклип: видеоклипы видеоклип 
ждать: ждать 
король: короля 
испытать: испытать 
испанский: испанские 
загрузка: загрузка 
сказать: скажу сказал 
отказ: отказ 
интересный: интересное 
политика: политика 
форум: форум форуме 
принадлежать: принадлежат 
пока: пока 
возможный: возможны 
простить: простите 
деньга: деньги 
ра: ра 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
мой: моего мои моей 
право: права 
наш: наши 
распинать: распинать 
сайт: сайтом сайт 
гора: гор 
любовь: любовь 
мелодия: мелодию 
поднять: подняв 
клип: клипов 
возможность: возможность 
кровавый: кровавая кровавой 
тот: те 
хит: хит 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
прийти: придет 
вчера: вчера 
итальянский: итальянские 
мнение: мнений 
микеланджело: микеланджело 
бояться: боюсь 
холодный: холодном 
убить: убить 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
рождение: рождения 
пожелание: пожелания 
сотворить: сотворил 
творение: творение 
освободиться: освободись 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
речь: речь 
материал: материалов 
вместе: вместе 
немецкий: немецкие 
разъярённый: разъяренного 
авторский: авторские 
песня: песне песни 
подписка: подписки 
резец: резца 
быть: буду 
французский: французские 
дар: дара 
пожалуйста: пожалуйста 
разместить: разместить 
готовый: готова 
плакать: плакать 
танцевать: танцуйте танцевать 
увидеть: увидишь 
поблагодарить: поблагодарить 
иисус: иисус 
умереть: умереть умер 
предоставляться: предоставляются 
переписать: переписать 
некоторый: некоторые 
замечание: замечания 
одиночество: одиночестве 
престол: престоле 
обратный: обратная 
копирование: копирования 
история: история 
вершина: вершинах 
парад: парад 
игра: игра 
просто: просто 
пилат: пилат 
добавить: добавить 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
голова: головой 
партнёрский: партнерская 
леди: леди 
ошибка: ошибки 
вещь: вещи 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
ого: ого 
событие: событие 
сообщить: сообщите 
мы: нам 
камень: камням 
дать: дам 
согласовывать: согласовывайте 
реклама: рекламу 
париж: париже 
вариант: вариант 
угадать: угадай 
понтия: понтий 
день: день 
программа: программа 
религия: религия 
