отвлечение: отвлечение 
проходить: проходит 
застрелиться: застрелились 
связь: связь 
место: место месте 
автор: автор авторы авторами автора авторам 
избавиться: избавиться 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
поставить: поставим 
многие: многие 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
оказаться: окажется 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
такой: такая 
возможный: возможны 
громкий: громкая 
выйти: выйти 
жертва: жертва 
понравиться: понравился понравиться 
время: времени 
радио: радио 
отражение: отражения 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
волшебство: волшебству 
сайт: сайтом сайт 
пропасть: пропало 
пьяный: пьяная 
мелодия: мелодию 
жить: жить 
базарить: базарит 
клип: клипов 
возможность: возможность 
снова: снова 
создать: создал 
исчезнуть: исчезну 
хит: хит 
злодей: злодей 
облажаться: облажался 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
вчера: вчера 
мой: мои моём 
итальянский: итальянские 
сучка: сучка 
мнение: мнений 
обвинять: обвиняешь 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
рождение: рождения 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
знать: знаю 
свой: своё 
несоответствие: несоответствия 
материал: материалов 
испортить: испорчено 
поджигать: поджигай 
словно: словно 
плохой: плоха 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
ведьма: ведьму 
подписка: подписки 
французский: французские 
темница: темнице 
пожалуйста: пожалуйста 
разместить: разместить 
поблагодарить: поблагодарить 
хотеть: хочешь 
позорить: позорить 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
злой: злую 
погнать: погнали 
идеальный: идеальная идеальна 
истинный: истинного 
расплывчивый: расплывчивее 
обратный: обратная 
копирование: копирования 
парад: парад 
твой: твоего твоя 
игра: игра 
монстр: монстр 
отпускать: отпускай 
давать: давай 
добавить: добавить 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
это: это 
партнёрский: партнерская 
страница: страница 
всё: всё 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
вино: вина 
любить: любишь 
социальный: социальные 
её: её 
постоянно: постоянно 
событие: событие 
сообщить: сообщите 
оно: оно 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
сжечь: сжечь 
ненавидеть: ненавидь 
угадать: угадай 
нужный: нужна 
день: день 
программа: программа 
