ветреный: ветреных 
связь: связь 
лгать: лжешь 
легко: легко 
автор: автор авторы авторами авторам 
общение: общение 
терять: теряешь 
перевод: переводов переводу перевода переводы перевод 
месячный: месячными месячных 
счёт: счетов 
татьяна: татьяна 
слишком: слишком 
рейтинг: рейтинг 
текст: текст 
стихотворный: стихотворные 
видеоклип: видеоклипы видеоклип 
строить: строит 
испанский: испанские 
загрузка: загрузка 
любить: люблю 
отказ: отказ 
интересный: интересное 
политика: политика 
сказать: скажи сказать 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
такой: таких 
предсказуемый: предсказуемых 
красотка: красотка 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
право: права 
наш: наши 
попрощаться: попрощайся 
хотя: хотя 
сайт: сайтом сайт 
наверное: наверное 
начать: начал 
который: которая 
мелодия: мелодию 
знать: знаешь знаю 
любим: любим 
достать: достало 
клип: клипов 
возможность: возможность 
последний: последний 
постоять: постой 
говорить: говорила 
макияж: макияжа 
хит: хит 
сведение: сведении 
красивый: красивой 
тег: тегам теги 
английский: английские 
сборище: сборище 
персональный: персональное 
паблик: паблик 
вчера: вчера 
мой: мои мою 
итальянский: итальянские 
мнение: мнений 
идеал: идеал 
очень: очень 
ты: тебе 
свой: своей 
главный: главная 
жизнь: жизнь 
уродина: уродина 
авторизируться: авторизируйтесь 
мир: мир 
слабохарактерный: слабохарактерная 
ребёнок: дети 
ответственность: ответственности 
пожелание: пожелания 
мужчина: мужчины 
рождение: рождения 
рядом: рядом 
конфиденциальность: конфиденциальности 
растить: растить 
несоответствие: несоответствия 
думать: думаешь думал 
мосс: мосс 
материал: материалов 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
посмотреть: посмотри 
подписка: подписки 
следующий: следующих следующем 
ссора: ссора 
я: мной 
быть: буду 
волобуев: волобуева 
французский: французские 
лишь: лишь 
порвать: порвать 
реагировать: реагировать 
пожалуйста: пожалуйста 
разместить: разместить 
потрепаться: потрепаться 
поблагодарить: поблагодарить 
повезти: повезло 
хотеть: хочешь 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
достойный: достоин 
время: время 
уверить: уверена 
обратный: обратная 
копирование: копирования 
парад: парад 
вечный: вечная 
игра: игра 
хороший: лучшее 
задница: задницу 
добавить: добавить 
одинаковый: одинаковые 
кейт: кейт 
называть: называешь 
плохой: хуже 
соглашение: соглашение 
отправить: отправить 
мочь: могут 
конченый: кончено 
это: это 
встреча: встречи 
простыть: простыл 
слабак: слабаков 
дешёвка: дешевки 
партнёрский: партнерская 
перевернуться: перевернулся 
чемодан: чемоданами 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
важно: важно 
делать: делать 
пользовательский: пользовательское 
социальный: социальные 
событие: событие 
сообщить: сообщите 
глупышка: глупышка 
мы: нам 
литературный: литературные 
согласовывать: согласовывайте 
реклама: рекламу 
мамочка: мамочкой 
вариант: вариант 
видеть: видишь 
мачо: мачо 
угадать: угадай 
день: день 
след: след 
программа: программа 
спасибо: спасибо 
