вершина: вершину 
ветерок: ветерок 
связь: связь 
автор: автор авторы авторами авторам 
ребёнок: ребёнок ребёнком 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
должный: должно 
рейтинг: рейтинг 
впадать: впадают 
текст: текст 
домой: домой 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
большой: большой 
сказать: скажи 
форум: форум форуме 
принадлежать: принадлежат 
пока: пока 
венди: венди 
возможный: возможны 
молодой: молода 
выйти: выйти 
понравиться: понравился понравиться 
вести: вела 
радио: радио 
безумный: безумные 
популярный: популярные 
персиковый: персиковое 
сеть: сети 
право: права 
наш: наши 
приносить: приносит 
обратно: обратно 
сайт: сайтом сайт 
любовь: любовь 
мелодия: мелодию 
весна: весна 
стать: стала 
клип: клипов 
возможность: возможность 
тёмный: тёмное 
женщина: женщины 
хит: хит 
возвращаться: возвращаться 
комната: комнате 
стоить: стою 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
мой: мои 
итальянский: итальянские 
мнение: мнений 
дерево: дерево 
сладкое: сладкое 
последний: последнее 
вскарабкаться: вскарабкаться 
главный: главная 
спать: спишь 
больший: большим 
авторизируться: авторизируйтесь 
ответственность: ответственности 
пожелание: пожелания 
взорваться: взорваться 
находить: нахожу 
ночной: ночного ночной 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
поспешить: поспеши 
материал: материалов 
словно: словно 
немецкий: немецкие 
смочь: смогу 
авторский: авторские 
поздний: поздняя 
песня: песне песни 
подписка: подписки 
хотеть: хочу 
вырасти: выросла 
депрессия: депрессию 
понимать: понимаю 
летний: летняя 
французский: французские 
дышать: дышать 
лишь: лишь 
мочь: могу могут 
пожалуйста: пожалуйста 
разместить: разместить 
говорить: говори 
биться: бьётся бьется 
окно: окна 
один: одно 
который: котором 
пятно: пятно 
поблагодарить: поблагодарить 
роман: роман 
бескрайний: бескрайнего 
небо: неба 
предоставляться: предоставляются 
грудь: грудь 
некоторый: некоторые 
замечание: замечания 
собираться: собирается 
время: время 
обратный: обратная 
первый: первая 
копирование: копирования 
парад: парад 
игра: игра 
плакать: плакала 
добавить: добавить 
соглашение: соглашение 
отправить: отправить 
оставить: оставить 
партнёрский: партнерская 
твой: твое 
подняться: подняться 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
любить: любишь 
социальный: социальные 
сообщить: сообщите 
мы: нам 
уступ: уступа 
согласовывать: согласовывайте 
слово: слово 
реклама: рекламу 
милый: милый 
угадать: угадай 
спрыгнуть: спрыгну 
программа: программа 
позволить: позволь 
