красный: красный 
связь: связь 
сайрусый: сайрус 
автор: автор авторы авторами автора авторам 
хороший: хороши 
разговаривать: разговаривать 
имя: имя 
отвести: отвести 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
хотеть: хотела 
рейтинг: рейтинг 
текст: текст 
уходить: уходить 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
построить: построили 
отказ: отказ 
интересный: интересное 
политика: политика 
сам: сама 
форум: форум форуме 
принадлежать: принадлежат 
пока: пока 
возможный: возможны 
свой: свое 
выйти: выйти 
понимать: понимаешь 
ссориться: ссориться 
понравиться: понравился понравиться 
раскаяние: раскаяния 
радио: радио 
популярный: популярные 
сеть: сети 
ошибиться: ошиблись 
право: права 
твой: твои 
наш: наши 
танец: танцы 
продаваться: продается 
сайт: сайтом сайт 
майли: майли 
слово: слова 
себя: собой 
мелодия: мелодию 
собственный: собственную 
часами: часами 
клип: клипов 
возможность: возможность 
оставить: оставил 
хит: хит 
рука: руку 
малыш: малыш 
цветок: цветы 
наблюдать: наблюдали 
тег: тегам 
английский: английские 
персональный: персональное 
паблик: паблик 
песок: песке 
мой: мои 
итальянский: итальянские 
мнение: мнений 
главный: главная 
авторизируться: авторизируйтесь 
вспомнить: вспомнила 
ответственность: ответственности 
пожелание: пожелания 
золотой: золотыми 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
словно: словно 
держать: держать 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
затем: затем 
французский: французские 
мочь: могу могут 
роза: роз 
пожалуйста: пожалуйста 
разместить: разместить 
плакать: плакать 
поблагодарить: поблагодарить 
маникюр: маникюр 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
прощать: прощаю 
лгать: лгать 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
любить: любить 
гореть: горит 
добавить: добавить 
купить: купить 
правый: правы 
соглашение: соглашение 
отправить: отправить 
партнёрский: партнерская 
страница: страница 
м: м 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
дом: дом 
начало: начала 
сообщить: сообщите 
мы: нам 
вишнёвый: вишнево 
согласовывать: согласовывайте 
написать: написать 
сожаление: сожаления 
реклама: рекламу 
мечта: мечта 
цвет: цвет 
угадать: угадай 
сделать: сделаю 
программа: программа 
сказать: сказать 
