скоро: скоро 
связь: связь 
старший: старше 
автор: автор авторы авторами автора авторам 
избавиться: избавиться 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
хотеть: хотела 
рейтинг: рейтинг 
небо: небеса 
текст: текст 
стихотворный: стихотворные 
видеоклип: видеоклипы видеоклип 
время: временам время 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
сказать: скажи 
форум: форум форуме 
принадлежать: принадлежат 
возможный: возможны 
потерять: потеряно потеряла 
песня: песен песне песни 
выйти: выйти 
простой: проще 
понравиться: понравился понравиться 
радио: радио 
тосковать: тоскуя 
уловка: уловки 
популярный: популярные 
сеть: сети 
любить: любила 
право: права 
наш: наши 
бокал: бокал 
сайт: сайтом сайт 
павел: павел 
мелодия: мелодию 
знать: знаешь знаю 
клип: клипов 
ещё: ещё 
возможность: возможность 
колесников: колесников 
закурить: закури 
падать: падая 
раскусить: раскусить 
ненавидеть: ненавидела 
мудрый: мудрее 
хит: хит 
малыш: малыш 
тег: тегам теги 
английский: английские 
персональный: персональное 
паблик: паблик 
породить: породили 
вчера: вчера 
мой: мои 
итальянский: итальянские 
мнение: мнений 
душа: душе 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
рождение: рождения 
пожелание: пожелания 
попасть: попасть 
год: лет 
выпить: выпьем 
конфиденциальность: конфиденциальности 
несоответствие: несоответствия 
материал: материалов 
понять: поняла понять 
словно: словно 
назад: назад 
немецкий: немецкие 
авторский: авторские 
неужели: неужели 
реклама: рекламы рекламу 
подписка: подписки 
поднять: поднимем 
о: обо 
французский: французские 
пожалуйста: пожалуйста 
выходить: выходила 
разместить: разместить 
ожидание: ожиданий 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
обнять: обними 
нектар: нектара 
замечание: замечания 
некоторый: некоторые 
стать: станешь 
передряга: передрягах 
колумбийский: колумбийского 
обратный: обратная 
копирование: копирования 
парад: парад 
игра: игра 
давать: давай 
просто: просто 
добавить: добавить 
исполнитель: исполнителя 
ради: ради 
соглашение: соглашение 
отправить: отправить 
обмануться: обманулась 
мочь: могут 
это: это 
тлеть: тлея 
партнёрский: партнерская 
сдаваться: сдавались 
всё: всё 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
конец: конец 
социальный: социальные 
столько: столько 
продюсер: продюсера 
событие: событие 
груз: груз 
сообщить: сообщите 
мы: нам 
забыть: забудешь 
литературный: литературные 
согласовывать: согласовывайте 
вариант: вариант 
угадать: угадай 
день: день 
уголёк: угольки 
программа: программа 
