прийти: приду 
твой: твоей 
связь: связь 
автор: автор авторы авторами авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
версия: версия 
принять: прими 
случай: случае 
рейтинг: рейтинг 
текст: текст 
видеоклип: видеоклипы видеоклип 
любовь: любовью 
разогнать: разогнать 
сказать: скажу сказать 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
маришка: маришка 
сделать: сделал 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
такой: такая 
возможный: возможны 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
сеть: сети 
так: т 
дискотека: дискотека 
право: права 
наш: наши 
сайт: сайтом сайт 
пожалеть: пожалеть 
чувствовать: чувствую 
уехать: уеду 
дать: дай 
миронов: миронова 
мелодия: мелодию 
жить: жить 
клип: клипов 
забыть: забыть 
возможность: возможность 
спотыкаться: спотыкаюсь 
равно: равно 
хит: хит 
вызов: вызов 
тег: тегам теги 
английский: английские 
персональный: персональное 
паблик: паблик 
мой: мои 
итальянский: итальянские 
мнение: мнений 
главный: главная 
авторизируться: авторизируйтесь 
сторониться: сторонишься 
ответственность: ответственности 
пожелание: пожелания 
умолк: умолку 
конфиденциальность: конфиденциальности 
знать: знаю 
несоответствие: несоответствия 
материал: материалов 
немецкий: немецкие немецкая 
авторский: авторские 
песня: песне песни 
подписка: подписки 
шанс: шанс 
я: мной 
понимать: понимаю 
французский: французские 
мочь: могу могут 
повторить: повтори 
пожалуйста: пожалуйста 
говорить: говоришь говорить 
серьёзно: серьёзно 
разместить: разместить 
х: х 
поблагодарить: поблагодарить 
незачем: незачем 
хотеть: хочешь 
предоставляться: предоставляются 
любой: любом 
некоторый: некоторые 
замечание: замечания 
ты: тобой 
обратный: обратная 
копирование: копирования 
парад: парад 
пара: пару 
игра: игра 
просто: просто 
идти: иду 
добавить: добавить 
соглашение: соглашение 
страх: страхи 
отправить: отправить 
что: чём 
ненужный: ненужным 
это: это 
партнёрский: партнерская 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
постепенно: постепенно 
социальный: социальные 
болтать: болтаем 
сообщить: сообщите 
день: дней 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
сегодня: сегодня 
угадать: угадай 
программа: программа 
