начинать: начинай 
отредактировать: отредактировано 
связь: связь 
падать: падающие 
автор: автор авторы авторами авторам 
юлиан: юлиана 
самый: самый 
ибо: ибо 
блестеть: блестит блестеть 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
мочь: можешь мог могу могут можем 
настоящий: настоящая 
надоесть: надоест 
вперёд: вперед 
рейтинг: рейтинг 
крутило: крутила 
затаиться: затаился 
текст: текст 
парад: парада парад 
видеоклип: видеоклипы видеоклип 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
пока: пока 
лёд: лед 
возможный: возможны 
год: годы 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
шоу: шоу 
прятаться: прячешься 
популярный: популярные 
сеть: сети 
игра: игру игра 
право: права 
наш: наши 
сайт: сайтом сайт 
сделать: сделать 
начать: начнешь 
звезда: звезд звезды звезда 
мелодия: мелодию 
жить: жить 
метеор: метеор 
золото: золото 
клип: клипов 
возможность: возможность 
свет: свете 
дать: дать 
веселие: веселья 
спросить: спросили 
согласиться: согласился 
рок: рок 
хит: хит 
кардинально: кардинально 
место: места 
лидер: лидеры 
показать: показала 
засиять: засияешь 
судить: судя 
тег: тегам теги 
английский: английские 
неметь: немеешь 
персональный: персональное 
говорить: говорят 
паблик: паблик 
вчера: вчера 
мой: мои 
итальянский: итальянские 
висок: виска 
переулок: переулкам 
мнение: мнений 
немного: немного 
однажды: однажды 
убегать: убегаю 
менять: менять 
поучать: поучать 
главный: главная 
авторизируться: авторизируйтесь 
повзрослеть: повзрослеешь 
мир: мир 
ответственность: ответственности 
рождение: рождения 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
жест: жестом 
холодный: холоднее 
несоответствие: несоответствия 
материал: материалов 
умнеть: умнеешь 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
шаблон: шаблон 
топливо: топливо 
исполнение: исполнении 
французский: французские 
изнутри: изнутри 
становиться: становится 
пожалуйста: пожалуйста 
разместить: разместить 
бензин: бензин 
вода: вода 
поблагодарить: поблагодарить 
лузер: лузер 
хороший: лучший 
деньга: денег 
предоставляться: предоставляются 
некоторый: некоторые 
замечание: замечания 
эй: эй 
нравиться: нравится 
обратный: обратная 
соломатин: соломатина 
копирование: копирования 
шрека: шрек 
использовать: использовать 
прохладно: прохладно 
узнать: узнаешь 
добавить: добавить 
кататься: катаемся 
смысл: смысла 
нужно: нужно 
ломать: ломают 
который: которому 
соглашение: соглашение 
отправить: отправить 
стыд: стыда 
твой: твой 
это: это 
увидеть: увидеть 
спутниковый: спутниковому 
партнёрский: партнерская 
раздавить: раздавит 
меняться: меняется 
переставать: перестают 
всё: всё 
ошибка: ошибки 
тонкий: тоньше 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
убираться: убираться 
теплеть: теплеет 
событие: событие 
палец: пальцем 
ждать: ждешь 
отличаться: отличается 
сообщить: сообщите 
мы: нам 
стоить: стоишь 
изображение: изображению 
плавать: плавать 
согласовывать: согласовывайте 
пойти: пойдешь 
реклама: рекламу 
сказать: сказали 
проходить: проходят 
угадать: угадай 
день: день 
программа: программа 
