рождество: рождество 
этот: эта 
связь: связь 
автор: автор авторы авторами автора авторам 
общение: общение 
перевод: переводов переводу перевода переводы перевод 
луна: луну 
слово: слов 
слишком: слишком 
отпечаток: отпечаток 
рейтинг: рейтинг 
текст: текст 
надеяться: надеемся 
парад: парада парад 
видеоклип: видеоклипы видеоклип 
закончиться: закончится 
испанский: испанские 
загрузка: загрузка 
отказ: отказ 
политика: политика 
интересный: интересное 
форум: форум форуме 
принадлежать: принадлежат 
падать: падает 
возможный: возможны 
стереть: стереть 
согласный: согласна 
выйти: выйти 
понравиться: понравился понравиться 
радио: радио 
популярный: популярные 
огонь: огня 
попросить: попросил 
сеть: сети 
любить: любила любили любить 
дискотека: дискотека 
право: права 
наш: наши 
сайт: сайтом сайт 
хотеться: хотелось 
любовь: любовь 
который: которая которую 
мелодия: мелодию 
клип: клипов 
снег: снег 
возможность: возможность 
день: дни 
хотеть: хочет хочешь 
падение: падения 
вызывать: вызываешь 
видеть: вижу 
уходить: уходишь уходит 
хит: хит 
ревность: ревность 
лидер: лидеры 
тег: тегам теги 
английский: английские 
персональный: персональное 
солнце: солнцем 
паблик: паблик 
прийти: придет 
другой: другая 
мой: мои 
итальянский: итальянские 
мнение: мнений 
ты: тебе 
главный: главная 
авторизируться: авторизируйтесь 
ответственность: ответственности 
вновь: вновь 
стекло: стеклами 
пожелание: пожелания 
конфиденциальность: конфиденциальности 
рикки: рикки 
несоответствие: несоответствия 
материал: материалов 
назад: назад 
немецкий: немецкие 
авторский: авторские 
песня: песне песни 
подписка: подписки 
думать: думаю 
я: мной 
какой: каким 
французский: французские 
лишь: лишь 
пожалуйста: пожалуйста 
разместить: разместить 
тишина: тишина 
х: х 
год: год 
поблагодарить: поблагодарить 
предоставляться: предоставляются 
некоторый: некоторые 
грустный: грустный 
замечание: замечания 
зима: зиме 
время: время 
обычный: обычный 
обратный: обратная 
копирование: копирования 
около: около 
женщина: женщина 
игра: игра 
единственный: единственный 
подушка: подушке 
добавить: добавить 
вечер: вечер 
соглашение: соглашение 
отправить: отправить 
такой: такое 
твой: твой 
это: это 
мочь: могут 
поверь: повери 
растаять: растаяла 
сидеть: сижу 
партнёрский: партнерская 
страница: страница 
ждать: жду 
ошибка: ошибки 
представиться: представьтесь 
поддержать: поддержи 
треклист: треклист 
любимый: любимые 
пользовательский: пользовательское 
социальный: социальные 
друг: друг 
э: э 
сообщить: сообщите 
оно: оно 
дом: дома 
мы: нам 
согласовывать: согласовывайте 
реклама: рекламу 
должный: должен 
спать: сплю 
вариант: вариант 
угадать: угадай 
программа: программа 
понимать: понимать 
