перевод: перевода переводы переводу перевод переводов 
околдовывать: околдовывает 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
поддержать: поддержи 
образ: образе 
связь: связь 
вода: вод 
согласовывать: согласовывайте 
вчера: вчера 
любим: любим 
понравиться: понравился понравиться 
мочь: могут 
берег: берегов 
рождение: рождения 
друг: друга друг 
реклама: рекламу 
автор: авторами авторы авторам автор 
соглашение: соглашение 
париж: париж париже 
почему: почему 
хит: хит 
ошибка: ошибки 
форум: форуме форум 
уверенный: уверенная 
трепетать: трепещет 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
выйти: выйти 
тег: тегам теги 
партнёрский: партнерская 
французский: французские 
экстравагантный: экстравагантна 
право: права 
немецкий: немецкие 
текст: текст 
парад: парада парад 
возможность: возможность 
мой: мои мое 
выступать: выступает 
чистый: чистый 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
политика: политика 
разместить: разместить 
рейтинг: рейтинг 
сайт: сайт сайтом 
мост: мосту 
люсиль: люсиль 
авторский: авторские 
наш: наши 
тень: тени 
сцена: сцене 
хороший: хорош 
очень: очень 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
сердце: сердце 
интересный: интересное 
выходить: выходит 
день: день 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
монстр: монстр 
радио: радио 
экстра: экстра 
английский: английские 
луна: луна 
событие: событие 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
замечание: замечания 
сена: сеной 
испанский: испанские 
литературный: литературные 
добавить: добавить 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
лидер: лидеры 
пожалуйста: пожалуйста 
вариант: вариант 
сообщить: сообщите 
вдыхать: вдыхаю 
знать: знаю 
материал: материалов 
мы: нам 
некоторый: некоторые 
абсолютно: абсолютно 
пользовательский: пользовательское 
красивый: красивая 
елена: елена 
авторизируться: авторизируйтесь 
отправить: отправить 
стихотворный: стихотворные 
ангела: ангела 
программа: программа 
это: это 
пьяный: пьян 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
сено: сена 
мелодия: мелодию 
ясный: ясная 
игра: игра 
воздух: воздух 
главный: главная 
искусство: искусств 
