перевод: перевода переводы переводу перевод переводов 
художественный: художественного 
страница: страница 
видеоклип: видеоклипы видеоклип 
рыдать: рыдать 
социальный: социальные 
уделить: удели 
занимать: занимала 
грэмми: грэмми 
поддержать: поддержи 
верить: верю 
посмертно: посмертно 
белый: белая 
вокальный: вокальное 
связь: связь 
вчера: вчера 
мочь: могут мог 
понравиться: понравился понравиться 
согласовывать: согласовывайте 
состав: состав 
известный: известного 
рождение: рождения 
сказать: скажи скажу 
премия: премии 
домой: домой 
реклама: рекламу 
ой: ой 
автор: авторами авторы автора авторам автор 
глаз: глазам 
соглашение: соглашение 
рок: рок 
хит: хит 
пока: пока 
подождать: подожди 
чёрно: чёрно 
форум: форуме форум 
название: названием 
гир: гира 
ошибка: ошибки 
неделя: недели 
пять: пять 
ты: тобой 
фильм: фильма 
треклист: треклист 
робертс: робертс 
принадлежать: принадлежат 
мужской: мужское 
предоставляться: предоставляются 
сеть: сети 
персональный: персональное 
билл: биллом 
выйти: выйти 
завтра: завтра 
тег: тегам 
альбом: альбома 
партнёрский: партнерская 
французский: французские 
друг: друзья 
тик: тик 
право: права 
немецкий: немецкие 
широко: широко 
текст: текст 
заставлять: заставляй 
позиция: позицию 
возможность: возможность 
мой: мои 
написать: написана 
место: место 
отказ: отказ 
песня: песне песни песен песня песню 
поблагодарить: поблагодарить 
политика: политика 
н: н 
музыка: музыку 
взглянуть: взгляни 
разместить: разместить 
рой: роем рой 
парад: парад параде 
рейтинг: рейтинг 
сайт: сайт сайтом 
нервный: нервный 
авторский: авторские 
орбисон: орбисоном орбисон 
такой: таких 
наш: наши 
ночь: ночь 
год: году года 
пойти: пошел 
ричард: ричарда 
красота: красотой 
каблучок: каблучком 
ай: ай 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
подарить: подари 
представиться: представьтесь 
выпустить: выпущенного 
минута: минут 
интересный: интересное 
грррыы: грррыыы 
день: день 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
впадать: впадаю 
сон: сон 
ролл: ролл 
улыбка: улыбку 
английский: английские 
нога: ног 
покидать: покидай 
журнал: журнал 
сжалиться: сжалься 
событие: событие 
асфальт: асфальту 
г: г 
итальянский: итальянские 
хороший: лучшее 
живой: живое 
возможный: возможны 
обратный: обратная 
удостоить: удостоен 
замечание: замечания 
надеяться: надеяться 
участие: участием 
испанский: испанские 
поп: поп 
стать: стала 
постоять: постой 
добавить: добавить 
поместить: поместил 
видеть: вижу 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
войти: вошла 
угадать: угадай 
красотка: красотка 
список: списке 
одинокий: одинока 
стучать: стучит 
один: одной одну 
пожалуйста: пожалуйста 
телекомпания: телекомпании 
сообщить: сообщите 
время: времён 
определять: определяющих 
судьба: судьба 
материал: материалов 
джулия: джулии 
давать: давай 
мы: нам 
некоторый: некоторые 
убегать: убегай 
я: мной 
музыкальный: музыкальном музыкальной 
петь: петь 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
словно: словно 
сбивать: сбиваешь 
отправить: отправить 
передача: передаче 
программа: программа 
назвать: названа 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
исполнение: исполнение 
знак: знаком 
август: августе 
мелодия: мелодию 
номинация: номинации 
простить: прости 
лишь: лишь 
нужный: нужна 
игра: игра 
остаться: останешься 
возвращаться: возвращается 
эй: эй 
главный: главная 
великий: величайших 
позвать: позови 
диз: дизом 
