перевод: перевода переводы переводу перевод переводов 
посмотреть: посмотри 
месячный: месячных месячными 
сборище: сборище 
видеоклип: видеоклипы видеоклип 
счёт: счетов 
социальный: социальные 
вечный: вечная 
поддержать: поддержи 
связь: связь 
согласовывать: согласовывайте 
ты: тебе 
любим: любим 
понравиться: понравился понравиться 
мочь: могут 
вчера: вчера 
встреча: встречи 
простыть: простыл 
рождение: рождения 
достойный: достоин 
сказать: скажи сказать 
уверить: уверена 
автор: авторами авторы авторам автор 
соглашение: соглашение 
рядом: рядом 
хит: хит 
говорить: говорила 
жизнь: жизнь 
ошибка: ошибки 
форум: форуме форум 
хотя: хотя 
мачо: мачо 
одинаковый: одинаковые 
идеал: идеал 
слишком: слишком 
делать: делать 
попрощаться: попрощайся 
волобуев: волобуева 
треклист: треклист 
мамочка: мамочкой 
видеть: видишь 
след: след 
предоставляться: предоставляются 
принадлежать: принадлежат 
сеть: сети 
персональный: персональное 
выйти: выйти 
чемодан: чемоданами 
тег: тегам теги 
конченый: кончено 
татьяна: татьяна 
партнёрский: партнерская 
французский: французские 
кейт: кейт 
называть: называешь 
право: права 
немецкий: немецкие 
текст: текст 
растить: растить 
возможность: возможность 
дешёвка: дешевки 
мой: мои мою 
мужчина: мужчины 
следующий: следующем следующих 
плохой: хуже 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
перевернуться: перевернулся 
политика: политика 
лгать: лжешь 
разместить: разместить 
порвать: порвать 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
такой: таких 
наш: наши 
задница: задницу 
мосс: мосс 
слабохарактерный: слабохарактерная 
очень: очень 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
достать: достало 
представиться: представьтесь 
интересный: интересное 
день: день 
ребёнок: дети 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
английский: английские 
уродина: уродина 
событие: событие 
итальянский: итальянские 
хороший: лучшее 
возможный: возможны 
обратный: обратная 
мир: мир 
потрепаться: потрепаться 
замечание: замечания 
глупышка: глупышка 
испанский: испанские 
литературный: литературные 
постоять: постой 
добавить: добавить 
спасибо: спасибо 
терять: теряешь 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
повезти: повезло 
угадать: угадай 
красотка: красотка 
думать: думал думаешь 
который: которая 
пожалуйста: пожалуйста 
вариант: вариант 
хотеть: хочешь 
сообщить: сообщите 
знать: знаю знаешь 
материал: материалов 
свой: своей 
мы: нам 
время: время 
некоторый: некоторые 
я: мной 
реагировать: реагировать 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
строить: строит 
любить: люблю 
отправить: отправить 
стихотворный: стихотворные 
программа: программа 
это: это 
любимый: любимые 
пожелание: пожелания 
красивый: красивой 
копирование: копирования 
макияж: макияжа 
мелодия: мелодию 
сведение: сведении 
наверное: наверное 
лишь: лишь 
игра: игра 
слабак: слабаков 
ссора: ссора 
последний: последний 
важно: важно 
начать: начал 
легко: легко 
ветреный: ветреных 
предсказуемый: предсказуемых 
главный: главная 
быть: буду 
реклама: рекламу 
