перевод: перевода переводы переводу перевод переводов 
согласиться: согласился 
убираться: убираться 
видеоклип: видеоклипы видеоклип 
социальный: социальные 
шоу: шоу 
поддержать: поддержи 
связь: связь 
смысл: смысла 
отредактировать: отредактировано 
вчера: вчера 
мочь: могут мог можем можешь могу 
понравиться: понравился понравиться 
проходить: проходят 
согласовывать: согласовывайте 
нужно: нужно 
соломатин: соломатина 
рождение: рождения 
кардинально: кардинально 
автор: авторами авторы авторам автор 
лузер: лузер 
соглашение: соглашение 
пойти: пойдешь 
рок: рок 
хороший: лучший 
хит: хит 
место: места 
веселие: веселья 
пока: пока 
золото: золото 
ошибка: ошибки 
форум: форуме форум 
самый: самый 
исполнение: исполнении 
жить: жить 
блестеть: блестеть блестит 
треклист: треклист 
прохладно: прохладно 
тонкий: тоньше 
принадлежать: принадлежат 
предоставляться: предоставляются 
прятаться: прячешься 
отличаться: отличается 
сеть: сети 
сказать: сказали 
персональный: персональное 
выйти: выйти 
спросить: спросили 
дать: дать 
использовать: использовать 
тег: тегам теги 
лёд: лед 
партнёрский: партнерская 
французский: французские 
настоящий: настоящая 
право: права 
немецкий: немецкие 
текст: текст 
парад: парада парад 
убегать: убегаю 
возможность: возможность 
умнеть: умнеешь 
затаиться: затаился 
кататься: катаемся 
повзрослеть: повзрослеешь 
мой: мои 
звезда: звезда звезд звезды 
жест: жестом 
бензин: бензин 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
изнутри: изнутри 
политика: политика 
разместить: разместить 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
стыд: стыда 
наш: наши 
начинать: начинай 
плавать: плавать 
переставать: перестают 
говорить: говорят 
метеор: метеор 
палец: пальцем 
висок: виска 
шрека: шрек 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
переулок: переулкам 
день: день 
становиться: становится 
вперёд: вперед 
год: годы 
клип: клипов 
узнать: узнаешь 
мнение: мнений 
ответственность: ответственности 
радио: радио 
спутниковый: спутниковому 
судить: судя 
свет: свете 
ибо: ибо 
игра: игру игра 
всё: всё 
английский: английские 
событие: событие 
итальянский: итальянские 
раздавить: раздавит 
шаблон: шаблон 
юлиан: юлиана 
возможный: возможны 
ломать: ломают 
обратный: обратная 
мир: мир 
нравиться: нравится 
замечание: замечания 
меняться: меняется 
испанский: испанские 
менять: менять 
добавить: добавить 
холодный: холоднее 
засиять: засияешь 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
падать: падающие 
угадать: угадай 
лидер: лидеры 
твой: твой 
крутило: крутила 
который: которому 
пожалуйста: пожалуйста 
сообщить: сообщите 
ждать: ждешь 
материал: материалов 
мы: нам 
некоторый: некоторые 
немного: немного 
топливо: топливо 
пользовательский: пользовательское 
поучать: поучать 
теплеть: теплеет 
сделать: сделать 
увидеть: увидеть 
авторизируться: авторизируйтесь 
стоить: стоишь 
отправить: отправить 
программа: программа 
изображение: изображению 
это: это 
любимый: любимые 
пожелание: пожелания 
начать: начнешь 
копирование: копирования 
мелодия: мелодию 
неметь: немеешь 
однажды: однажды 
эй: эй 
вода: вода 
показать: показала 
главный: главная 
реклама: рекламу 
деньга: денег 
надоесть: надоест 
