перевод: перевода переводы переводу переводе перевод переводов 
наиболее: наиболее 
последний: последняя 
видеоклип: видеоклипы видеоклип 
джумагазий: джумагазиев 
испанский: испанского испанском испанские 
социальный: социальные 
существовать: существуют 
поддержать: поддержи 
связь: связь 
записывать: записываемой 
согласовывать: согласовывайте 
эквиритмичный: эквиритмичный 
понравиться: понравился понравиться 
мочь: могут 
андреа: андреа 
фраза: фраза 
стать: стань стало 
язык: языке языки 
крепкий: крепче 
автор: авторами авторы авторам автор 
полночь: полночь 
соглашение: соглашение 
хит: хит 
ошибка: ошибки 
форум: форуме форум 
исполнение: исполнении исполнений 
переводиться: переводится 
сам: сама самой 
ты: тобой 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
сеть: сети 
дословно: дословно 
персональный: персональное 
выйти: выйти 
завтра: завтра 
тег: тегам теги 
её: её 
опера: оперы 
партнёрский: партнерская 
французский: французские 
проститься: простимся 
известный: известных 
разный: разные 
право: права 
немецкий: немецкие 
инструментальный: инструментальных 
век: века 
текст: текст 
парад: парада парад 
возможность: возможность 
мой: мои 
марат: марат 
сотня: сотни 
мексиканка: мексиканкой 
отказ: отказ 
песня: песне песни песен песня песню 
поблагодарить: поблагодарить 
политика: политика 
веласкес: веласкес 
произведение: произведение 
разместить: разместить 
гранадос: гранадоса 
версия: версий 
гойески: гойески 
рейтинг: рейтинг 
сайт: сайт сайтом 
авторский: авторские 
наш: наши 
ария: ария 
разлука: разлуку 
рассказывать: рассказывала 
ночь: ночь 
год: году 
далеко: далеко 
целоваться: целовалась 
целовать: целуй 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
сердце: сердце 
интересный: интересное 
название: название 
хотеть: хочет 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
радио: радио 
вдохновить: вдохновила 
английский: английские 
превозмочь: превозмочь 
дать: давшая 
энрике: энрике 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
торрес: торрес 
замечание: замечания 
композитор: композитора 
жанр: жанре 
литературный: литературные 
добавить: добавить 
болеро: болеро 
несоответствие: несоответствия 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
лидер: лидеры 
написать: написала написанная 
кто: кем 
один: одной 
пожалуйста: пожалуйста 
сообщить: сообщите 
близкий: ближе 
этот: эта 
число: числе 
материал: материалов 
мы: нам 
некоторый: некоторые 
знать: знаешь 
поцелуй: поцелуй 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
отправить: отправить 
стихотворный: стихотворные 
программа: программа 
консуэть: консуэло 
это: это 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
мелодия: мелодию 
представить: представлена 
игра: игра 
глаз: глаза 
русский: русский 
бочелли: бочелли 
к: ко 
также: также 
ещё: ещё 
главный: главная 
отводить: отводи 
реклама: рекламу 
