перевод: перевода переводы переводу перевод переводов 
видеоклип: видеоклипы видеоклип 
узнать: узнали 
социальный: социальные 
поддержать: поддержи 
путешествовать: путешествуем 
связь: связь 
согласовывать: согласовывайте 
мочь: могут 
понравиться: понравился понравиться 
управлять: управлять 
сказать: скажи 
добро: добра 
автор: авторами авторы авторам автор 
соглашение: соглашение 
хит: хит 
человечество: человечества 
ошибка: ошибки 
форум: форуме форум 
ведущий: ведущий 
слишком: слишком 
единственный: единственное 
человек: человек людей люди человеке человека 
сладкое: сладкому 
мир: миром 
ты: тобой 
идея: идеи 
треклист: треклист 
принадлежать: принадлежат 
предоставляться: предоставляются 
какой: какое 
который: который 
жить: живет 
сеть: сети 
персональный: персональное 
выйти: выйти 
тег: тегам 
партнёрский: партнерская 
французский: французские 
право: права 
немецкий: немецкие 
такой: такого 
текст: текст 
славить: славьте 
возможность: возможность 
счастливый: счастливая 
мой: мои мою 
одиночка: одиночку 
отказ: отказ 
песня: песне песни 
поблагодарить: поблагодарить 
мечтать: мечтают 
политика: политика 
разместить: разместить 
парад: парад 
рейтинг: рейтинг 
сайт: сайт сайтом 
понимать: понимают 
авторский: авторские 
великий: великую великий 
наш: наши 
народ: народ 
братство: братства 
далеко: далеко 
прийти: приди 
уйти: ушли 
время: времени время времена 
подписка: подписки 
общение: общение 
конфиденциальность: конфиденциальности 
паблик: паблик 
представиться: представьтесь 
интересный: интересное 
клип: клипов 
мнение: мнений 
ответственность: ответственности 
станцевать: станцую 
радио: радио 
английский: английские 
итальянский: итальянские 
возможный: возможны 
обратный: обратная 
замечание: замечания 
испанский: испанские 
добавить: добавить 
несоответствие: несоответствия 
исчезнуть: исчезнет 
популярный: популярные 
загрузка: загрузка 
угадать: угадай 
умереть: умрет 
прошлое: прошлое 
пожалуйста: пожалуйста 
нация: нация 
сообщить: сообщите 
материал: материалов 
мы: нам 
некоторый: некоторые 
пользовательский: пользовательское 
авторизируться: авторизируйтесь 
способный: способен 
ради: ради 
отправить: отправить 
программа: программа 
случай: случай 
совершенный: совершенном 
любимый: любимые 
пожелание: пожелания 
копирование: копирования 
спасение: спасению 
мелодия: мелодию 
игра: игра 
душа: душу 
главный: главная 
реклама: рекламу 
